ResponseId,DatabaseWantToWorkWith
2,PostgreSQL
3,Firebase Realtime Database
4,MongoDB
4,MySQL
4,PostgreSQL
5,PostgreSQL
5,SQLite
6,Cloud Firestore
8,Supabase
10,MongoDB
10,MySQL
10,PostgreSQL
10,Redis
11,Elasticsearch
11,MongoDB
11,PostgreSQL
11,SQLite
12,Microsoft SQL Server
12,PostgreSQL
12,SQLite
13,MySQL
15,Oracle
16,Microsoft SQL Server
19,Microsoft SQL Server
19,SQLite
20,Microsoft SQL Server
21,Microsoft SQL Server
21,MySQL
21,PostgreSQL
22,MariaDB
22,Microsoft SQL Server
22,MySQL
23,Redis
23,SQLite
24,MySQL
24,PostgreSQL
24,SQLite
25,PostgreSQL
26,MongoDB
27,PostgreSQL
27,Presto
28,Dynamodb
29,MariaDB
29,Microsoft SQL Server
29,MySQL
30,Cosmos DB
30,Dynamodb
30,Elasticsearch
30,Firebase Realtime Database
30,MariaDB
30,Microsoft SQL Server
30,MongoDB
30,PostgreSQL
30,SQLite
31,Firebase Realtime Database
31,Microsoft Access
32,DuckDB
32,PostgreSQL
33,Elasticsearch
33,MongoDB
33,MySQL
33,Redis
34,Cassandra
34,Clickhouse
34,Elasticsearch
34,Redis
36,Microsoft SQL Server
37,H2
37,MySQL
37,Neo4J
39,MongoDB
39,PostgreSQL
40,Cassandra
40,MongoDB
40,MySQL
40,PostgreSQL
41,PostgreSQL
41,Redis
41,SQLite
43,Supabase
44,Microsoft SQL Server
45,Cloud Firestore
45,Cockroachdb
45,Cosmos DB
45,Couch DB
45,Elasticsearch
45,Firebase Realtime Database
45,Microsoft SQL Server
45,MongoDB
45,MySQL
45,PostgreSQL
45,RavenDB
45,Redis
46,BigQuery
46,Databricks SQL
46,DuckDB
46,PostgreSQL
46,Redis
46,SQLite
49,Firebird
49,Microsoft SQL Server
49,SQLite
50,Oracle
50,PostgreSQL
50,Redis
51,MongoDB
51,MySQL
51,PostgreSQL
51,SQLite
52,BigQuery
52,Clickhouse
52,Cloud Firestore
52,Microsoft SQL Server
52,MongoDB
52,PostgreSQL
52,Redis
52,Snowflake
52,SQLite
52,Supabase
53,MySQL
53,Oracle
53,PostgreSQL
53,Redis
53,Supabase
54,Cosmos DB
54,Microsoft SQL Server
54,Redis
55,Cloud Firestore
55,MariaDB
55,SQLite
56,DuckDB
56,SQLite
57,MySQL
58,Elasticsearch
58,MongoDB
58,PostgreSQL
61,MySQL
61,PostgreSQL
61,SQLite
62,Microsoft SQL Server
65,PostgreSQL
66,MariaDB
68,Cosmos DB
69,BigQuery
69,Cassandra
69,Cosmos DB
69,Dynamodb
69,Elasticsearch
69,MariaDB
69,MongoDB
69,MySQL
69,PostgreSQL
69,SQLite
70,Microsoft SQL Server
72,Cosmos DB
72,Microsoft SQL Server
72,Redis
73,BigQuery
73,Cassandra
73,Databricks SQL
73,Elasticsearch
73,Neo4J
73,PostgreSQL
73,Snowflake
75,DuckDB
75,PostgreSQL
75,SQLite
78,MariaDB
78,MySQL
78,PostgreSQL
79,Dynamodb
79,PostgreSQL
79,Redis
81,Microsoft SQL Server
82,PostgreSQL
83,PostgreSQL
83,SQLite
85,MongoDB
85,PostgreSQL
85,Redis
86,Microsoft SQL Server
86,SQLite
87,Cosmos DB
87,Microsoft SQL Server
87,Redis
88,PostgreSQL
88,SQLite
89,Microsoft SQL Server
90,Elasticsearch
90,MySQL
90,Oracle
92,MySQL
92,PostgreSQL
92,SQLite
94,PostgreSQL
