ResponseId,LanguageHaveWorkedWith
2,Bash/Shell (all shells)
2,Go
2,HTML/CSS
2,Java
2,JavaScript
2,Python
2,TypeScript
3,C#
4,C
4,C++
4,HTML/CSS
4,Java
4,JavaScript
4,PHP
4,PowerShell
4,Python
4,SQL
4,TypeScript
5,C++
5,HTML/CSS
5,JavaScript
5,Lua
5,Python
5,Rust
6,Bash/Shell (all shells)
6,HTML/CSS
6,Java
6,JavaScript
6,Python
6,Rust
6,Swift
6,TypeScript
7,R
8,HTML/CSS
8,JavaScript
8,TypeScript
9,Lua
10,HTML/CSS
10,JavaScript
10,TypeScript
11,JavaScript
11,Python
11,Ruby
12,C
12,C#
12,C++
12,Delphi
12,HTML/CSS
12,Java
12,JavaScript
12,PowerShell
12,SQL
12,TypeScript
12,VBA
12,Visual Basic (.Net)
13,Bash/Shell (all shells)
13,C#
13,JavaScript
13,PowerShell
13,VBA
14,PHP
14,Python
15,C
15,C++
16,C#
16,HTML/CSS
16,JavaScript
16,PowerShell
16,SQL
16,TypeScript
16,VBA
16,Visual Basic (.Net)
17,Rust
17,TypeScript
18,HTML/CSS
18,JavaScript
18,TypeScript
19,C#
19,HTML/CSS
19,JavaScript
19,PHP
19,Python
19,SQL
20,PowerShell
20,SQL
21,Bash/Shell (all shells)
21,HTML/CSS
21,PHP
21,Python
21,SQL
21,VBA
22,C#
22,HTML/CSS
22,Java
22,PHP
22,SQL
23,Bash/Shell (all shells)
23,C#
23,F#
23,JavaScript
23,PowerShell
23,SQL
24,HTML/CSS
24,JavaScript
24,PHP
24,Python
24,SQL
25,Clojure
25,Java
25,JavaScript
25,SQL
26,C#
26,HTML/CSS
26,Java
26,JavaScript
26,Python
26,SQL
26,VBA
26,Visual Basic (.Net)
27,C#
27,HTML/CSS
27,JavaScript
27,Python
27,Scala
27,SQL
28,Bash/Shell (all shells)
28,Lua
28,TypeScript
29,Bash/Shell (all shells)
29,C#
29,HTML/CSS
29,JavaScript
29,PHP
29,PowerShell
29,Python
29,SQL
30,C#
30,HTML/CSS
30,JavaScript
30,SQL
31,Go
31,HTML/CSS
31,Java
31,JavaScript
31,Perl
31,Python
31,TypeScript
32,Bash/Shell (all shells)
32,Go
32,HTML/CSS
32,Python
32,Scala
32,SQL
33,Bash/Shell (all shells)
33,JavaScript
33,PHP
33,SQL
33,TypeScript
34,Bash/Shell (all shells)
34,Python
35,C++
35,HTML/CSS
35,Java
35,JavaScript
35,MATLAB
35,Perl
35,PowerShell
35,Python
35,SQL
35,TypeScript
36,Bash/Shell (all shells)
36,C#
36,C++
36,HTML/CSS
36,PowerShell
36,Python
36,SQL
36,VBA
37,Bash/Shell (all shells)
37,C#
37,Java
37,OCaml
37,SQL
38,Python
39,HTML/CSS
39,JavaScript
39,Python
39,Ruby
39,SQL
39,TypeScript
40,C
40,HTML/CSS
40,Java
40,JavaScript
40,Python
40,SQL
40,TypeScript
41,HTML/CSS
41,JavaScript
41,Ruby
41,SQL
42,Bash/Shell (all shells)
42,C++
42,Python
43,Bash/Shell (all shells)
43,HTML/CSS
43,JavaScript
43,Python
43,Rust
43,TypeScript
44,Assembly
44,C#
44,C++
44,HTML/CSS
44,JavaScript
44,MATLAB
44,Python
44,SQL
44,VBA
45,C#
45,HTML/CSS
45,JavaScript
45,SQL
45,TypeScript
46,C#
46,Dart
46,Fortran
46,Go
46,Julia
46,Python
46,SQL
46,VBA
47,C
47,C++
48,Crystal
48,Julia
48,R
48,Ruby
49,Delphi
49,Fortran
49,SQL
50,Java
50,JavaScript
50,SQL
51,Assembly
51,C#
51,Java
51,JavaScript
51,Python
51,Rust
52,Bash/Shell (all shells)
52,C#
52,Go
52,HTML/CSS
52,JavaScript
52,PowerShell
52,Python
52,Rust
52,SQL
52,TypeScript
52,VBA
53,C
53,HTML/CSS
53,Java
53,JavaScript
53,PowerShell
53,SQL
53,TypeScript
54,C#
54,HTML/CSS
54,JavaScript
54,SQL
55,C++
55,HTML/CSS
55,JavaScript
55,Kotlin
55,Lua
55,PowerShell
55,Python
55,SQL
55,TypeScript
56,C
56,Go
56,Python
56,SQL
57,C#
57,JavaScript
57,Lua
58,Python
59,C
59,C++
59,HTML/CSS
59,JavaScript
59,Python
59,SQL
60,Bash/Shell (all shells)
60,C#
60,Java
60,PowerShell
60,Python
60,SQL
61,Assembly
61,C++
61,Go
61,HTML/CSS
61,JavaScript
61,Julia
61,Lisp
61,PHP
61,Prolog
61,Rust
61,SQL
61,TypeScript
62,C#
62,JavaScript
62,SQL
62,TypeScript
63,Assembly
63,C
63,HTML/CSS
63,JavaScript
64,PowerShell
64,Ruby
65,Java
66,Assembly
66,C
66,C++
66,Dart
66,Kotlin
66,PHP
66,SQL
67,Assembly
67,Bash/Shell (all shells)
67,C
67,C#
67,C++
67,Dart
67,Haskell
67,Java
67,Python
67,SQL
68,Bash/Shell (all shells)
68,C#
68,HTML/CSS
68,JavaScript
68,PowerShell
68,SQL
68,TypeScript
69,Bash/Shell (all shells)
69,HTML/CSS
69,Java
69,JavaScript
69,Kotlin
69,Perl
69,Python
69,SQL
69,TypeScript
70,C#
70,HTML/CSS
70,JavaScript
70,SQL
70,Visual Basic (.Net)
72,C#
72,PowerShell
72,SQL
73,Assembly
73,Bash/Shell (all shells)
73,C
73,C++
73,HTML/CSS
73,Java
73,JavaScript
73,Python
73,R
73,SQL
73,TypeScript
74,C++
74,Python
74,R
75,Ada
75,Assembly
75,Bash/Shell (all shells)
75,C
75,C++
75,Clojure
75,Crystal
75,Dart
75,Elixir
75,Erlang
75,Fortran
75,Go
75,Groovy
75,Haskell
75,HTML/CSS
75,Java
75,JavaScript
75,Julia
75,Kotlin
75,Lisp
75,Lua
75,OCaml
75,Perl
75,PowerShell
75,Python
75,R
75,Rust
75,Scala
75,SQL
75,TypeScript
75,Zig
76,HTML/CSS
76,JavaScript
77,Groovy
77,HTML/CSS
77,Java
77,JavaScript
77,Python
78,Bash/Shell (all shells)
78,C++
78,HTML/CSS
78,JavaScript
78,Python
78,SQL
78,TypeScript
79,Bash/Shell (all shells)
79,HTML/CSS
79,Java
79,JavaScript
79,Python
79,SQL
80,C#
80,JavaScript
80,TypeScript
81,C#
81,PowerShell
81,Rust
82,Go
82,HTML/CSS
82,JavaScript
82,Python
82,TypeScript
83,C
83,Python
84,Bash/Shell (all shells)
84,C
84,C++
84,Go
84,JavaScript
84,Python
85,C#
85,C++
85,HTML/CSS
85,JavaScript
85,Kotlin
85,Lua
85,PowerShell
85,SQL
86,SQL
87,Bash/Shell (all shells)
87,C#
87,HTML/CSS
87,JavaScript
87,PowerShell
87,Python
87,SQL
87,TypeScript
88,HTML/CSS
88,Python
88,Rust
89,C#
89,HTML/CSS
89,JavaScript
89,SQL
89,VBA
89,Visual Basic (.Net)
90,C
90,C++
90,HTML/CSS
90,Java
90,JavaScript
90,PHP
90,SQL
90,Visual Basic (.Net)
91,Python
92,Bash/Shell (all shells)
92,C
92,C#
92,C++
92,HTML/CSS
92,JavaScript
92,PHP
92,Python
92,Rust
92,SQL
92,TypeScript
93,C
93,C++
93,Groovy
93,HTML/CSS
93,Java
93,JavaScript
93,PHP
93,Python
93,SQL
94,GDScript
94,JavaScript
94,PHP
95,C#
95,HTML/CSS
95,JavaScript
95,PHP
95,PowerShell
96,C#
96,HTML/CSS
96,JavaScript
96,PHP
96,SQL
97,Bash/Shell (all shells)
97,C#
97,JavaScript
98,Bash/Shell (all shells)
98,C
98,C++
98,Java
98,Python
99,C#
99,JavaScript
99,PowerShell
99,SQL
100,C
100,C#
100,C++
100,HTML/CSS
100,Java
100,JavaScript
100,Python
100,Ruby
100,SQL
100,TypeScript
101,Bash/Shell (all shells)
101,Go
101,SQL
102,C#
102,JavaScript
102,SQL
102,TypeScript
103,Go
103,PHP
103,Python
103,SQL
104,Assembly
104,Bash/Shell (all shells)
104,C
104,C#
104,C++
104,HTML/CSS
104,Lua
104,MATLAB
104,PowerShell
104,SQL
105,C#
105,HTML/CSS
105,Java
105,JavaScript
105,PHP
105,SQL
105,VBA
105,Visual Basic (.Net)
106,Bash/Shell (all shells)
106,Go
106,HTML/CSS
106,Python
107,Assembly
107,Bash/Shell (all shells)
107,C
107,C++
107,F#
107,Haskell
107,HTML/CSS
107,Java
107,JavaScript
107,PowerShell
107,Python
107,Scala
107,SQL
107,TypeScript
108,C#
108,HTML/CSS
108,VBA
109,C#
109,PowerShell
109,SQL
110,HTML/CSS
110,Java
110,JavaScript
110,Prolog
110,Scala
110,TypeScript
111,C
111,C#
111,HTML/CSS
111,Java
111,Python
111,SQL
112,Bash/Shell (all shells)
112,C#
112,HTML/CSS
112,Java
112,JavaScript
112,PowerShell
112,Python
113,Bash/Shell (all shells)
113,HTML/CSS
113,JavaScript
113,Kotlin
113,TypeScript
114,C
114,C#
114,C++
114,Elixir
114,Erlang
114,Go
114,HTML/CSS
114,Java
114,JavaScript
114,PHP
114,Python
114,R
114,Ruby
114,SQL
114,TypeScript
114,VBA
114,Visual Basic (.Net)
115,JavaScript
115,TypeScript
116,C#
117,Bash/Shell (all shells)
117,C
117,C++
117,Kotlin
117,PowerShell
117,Python
117,Rust
118,Bash/Shell (all shells)
118,HTML/CSS
118,JavaScript
118,Python
118,TypeScript
119,C#
119,Go
119,Python
119,SQL
120,Bash/Shell (all shells)
120,HTML/CSS
120,JavaScript
120,PHP
120,SQL
120,TypeScript
121,Bash/Shell (all shells)
121,HTML/CSS
121,JavaScript
121,SQL
122,C#
122,HTML/CSS
122,JavaScript
122,PowerShell
122,Python
122,SQL
122,TypeScript
123,Java
123,JavaScript
123,Kotlin
123,Lua
123,MicroPython
123,Python
123,Rust
123,Scala
123,TypeScript
124,Go
125,HTML/CSS
125,Java
125,JavaScript
125,Python
125,TypeScript
126,HTML/CSS
126,Kotlin
126,Objective-C
126,Python
126,Ruby
126,Swift
126,TypeScript
127,Go
127,Python
128,Assembly
128,Bash/Shell (all shells)
128,C
128,C#
128,C++
128,Dart
128,Go
128,HTML/CSS
128,Java
128,Kotlin
128,Python
128,Rust
128,SQL
129,C#
129,C++
129,HTML/CSS
129,JavaScript
129,PowerShell
129,SQL
130,Bash/Shell (all shells)
130,C#
130,HTML/CSS
130,JavaScript
130,SQL
131,C++
132,JavaScript
132,TypeScript
133,HTML/CSS
133,JavaScript
133,PHP
133,SQL
134,Bash/Shell (all shells)
134,C#
134,HTML/CSS
134,Java
134,JavaScript
134,PHP
134,PowerShell
134,Python
134,Rust
134,SQL
135,C#
135,PowerShell
135,Python
136,C
136,C#
136,C++
136,HTML/CSS
136,Java
136,JavaScript
136,PHP
136,Python
136,SQL
136,TypeScript
137,Bash/Shell (all shells)
137,HTML/CSS
137,JavaScript
137,PHP
137,Python
137,SQL
138,Bash/Shell (all shells)
138,HTML/CSS
138,Java
138,JavaScript
138,TypeScript
139,Assembly
139,C
139,C#
139,C++
139,HTML/CSS
139,JavaScript
139,Lua
139,TypeScript
140,Bash/Shell (all shells)
140,HTML/CSS
140,Java
140,JavaScript
140,PHP
140,PowerShell
140,Python
140,SQL
140,TypeScript
141,Bash/Shell (all shells)
141,Dart
141,JavaScript
141,Python
141,SQL
142,C
142,HTML/CSS
142,Java
142,JavaScript
142,PHP
142,SQL
142,TypeScript
143,C
143,C++
143,Java
144,Assembly
144,Bash/Shell (all shells)
144,C
144,HTML/CSS
144,Java
144,JavaScript
144,Python
144,Rust
144,TypeScript
145,C#
145,HTML/CSS
145,JavaScript
145,SQL
145,TypeScript
145,Visual Basic (.Net)
146,Bash/Shell (all shells)
146,Dart
146,Python
146,Swift
147,HTML/CSS
147,SQL
147,VBA
148,Go
148,Java
148,JavaScript
148,Kotlin
148,PHP
148,Python
148,SQL
149,C#
149,HTML/CSS
149,JavaScript
149,SQL
149,TypeScript
150,Bash/Shell (all shells)
150,HTML/CSS
150,JavaScript
150,PHP
150,Python
150,SQL
150,TypeScript
151,C#
151,HTML/CSS
151,JavaScript
151,SQL
151,TypeScript
153,C#
153,HTML/CSS
153,Python
153,SQL
154,Python
154,TypeScript
155,C
155,C++
155,JavaScript
155,Lua
155,Python
155,Rust
155,SQL
155,TypeScript
156,Bash/Shell (all shells)
156,HTML/CSS
156,Java
156,JavaScript
156,PHP
156,PowerShell
156,Python
156,SQL
156,TypeScript
157,HTML/CSS
157,JavaScript
157,PHP
157,SQL
157,TypeScript
158,C#
158,HTML/CSS
158,JavaScript
158,SQL
159,HTML/CSS
159,JavaScript
159,SQL
159,TypeScript
160,C
160,C#
160,C++
160,HTML/CSS
160,JavaScript
160,TypeScript
161,Go
161,Rust
161,Zig
162,Bash/Shell (all shells)
162,C#
162,C++
162,HTML/CSS
162,JavaScript
162,SQL
162,TypeScript
163,Lua
163,Python
163,TypeScript
164,Java
164,TypeScript
165,Java
166,C#
166,HTML/CSS
166,JavaScript
166,SQL
166,TypeScript
167,C
167,C#
167,C++
167,Haskell
167,HTML/CSS
167,Java
167,JavaScript
167,PowerShell
167,Python
167,SQL
