ResponseId,LanguageWantToWorkWith
2,Bash/Shell (all shells)
2,Go
2,HTML/CSS
2,Java
2,JavaScript
2,Kotlin
2,Python
2,TypeScript
3,C#
4,HTML/CSS
4,Java
4,JavaScript
4,PowerShell
4,Python
4,SQL
4,TypeScript
5,C++
5,HTML/CSS
5,JavaScript
5,Lua
5,Python
6,Bash/Shell (all shells)
6,HTML/CSS
6,Java
6,JavaScript
6,Python
6,Swift
6,TypeScript
7,R
8,HTML/CSS
8,JavaScript
8,TypeScript
9,Lua
10,HTML/CSS
10,JavaScript
10,TypeScript
11,C#
11,Crystal
11,Java
11,JavaScript
11,Python
11,Ruby
12,C#
12,HTML/CSS
12,JavaScript
12,PowerShell
12,Rust
12,SQL
12,TypeScript
13,Bash/Shell (all shells)
13,JavaScript
13,VBA
14,Python
15,C
15,C++
16,C#
16,SQL
17,Rust
17,TypeScript
18,HTML/CSS
18,JavaScript
18,TypeScript
19,C#
19,HTML/CSS
19,JavaScript
19,SQL
20,PowerShell
20,Python
20,SQL
21,C++
21,Java
21,JavaScript
21,PHP
21,PowerShell
21,Python
21,R
21,SQL
22,C#
22,HTML/CSS
22,Java
22,PHP
22,SQL
23,Bash/Shell (all shells)
23,C#
23,F#
23,Go
24,HTML/CSS
24,JavaScript
24,PHP
24,Python
24,Rust
24,SQL
25,Clojure
25,Julia
25,SQL
26,TypeScript
27,C#
27,JavaScript
27,Python
27,Scala
27,SQL
28,Bash/Shell (all shells)
28,Lua
28,Rust
28,TypeScript
28,Zig
29,Bash/Shell (all shells)
29,C#
29,HTML/CSS
29,JavaScript
29,PHP
29,PowerShell
29,Python
29,SQL
30,C#
30,HTML/CSS
30,JavaScript
30,Kotlin
30,SQL
30,TypeScript
31,Go
31,HTML/CSS
31,JavaScript
31,Julia
31,PHP
31,Python
31,TypeScript
32,Bash/Shell (all shells)
32,Go
32,Python
32,SQL
33,Bash/Shell (all shells)
33,C#
33,JavaScript
33,PHP
33,Python
33,SQL
33,TypeScript
34,Bash/Shell (all shells)
34,Go
34,Python
34,TypeScript
35,C++
35,Dart
35,Go
35,HTML/CSS
35,PowerShell
35,Python
35,Rust
35,SQL
35,TypeScript
36,Bash/Shell (all shells)
36,C#
36,HTML/CSS
36,Python
36,SQL
37,Bash/Shell (all shells)
37,Java
37,SQL
38,Python
39,HTML/CSS
39,JavaScript
39,Python
39,Ruby
39,SQL
39,TypeScript
40,Assembly
40,Bash/Shell (all shells)
40,C
40,C++
40,Dart
40,Go
40,Java
40,Python
40,Rust
40,Solidity
40,SQL
40,TypeScript
41,Elixir
41,Go
41,HTML/CSS
41,Ruby
41,Rust
41,SQL
42,Go
43,C
43,Cobol
43,Fortran
43,Go
43,Zig
44,Assembly
44,C#
44,C++
44,HTML/CSS
44,JavaScript
44,Python
44,SQL
45,C#
45,HTML/CSS
45,JavaScript
45,SQL
45,TypeScript
46,Dart
46,Go
46,Python
46,Rust
46,SQL
47,C++
48,Crystal
48,Julia
48,R
48,Ruby
49,Delphi
49,SQL
50,Java
50,JavaScript
50,Python
51,Bash/Shell (all shells)
51,C#
51,Go
51,Java
51,JavaScript
51,Python
51,Rust
51,TypeScript
52,Bash/Shell (all shells)
52,C#
52,Go
52,HTML/CSS
52,JavaScript
52,Lua
52,Rust
52,SQL
52,TypeScript
53,Go
53,HTML/CSS
53,Java
53,JavaScript
53,PowerShell
53,SQL
53,TypeScript
54,C#
54,JavaScript
54,SQL
55,JavaScript
55,Lua
55,PHP
55,Python
55,Rust
55,TypeScript
56,C
56,Go
56,OCaml
56,Python
56,Rust
56,SQL
56,Zig
57,C#
57,JavaScript
57,Lua
58,Python
59,C++
59,HTML/CSS
59,Python
60,Bash/Shell (all shells)
60,C#
60,Java
60,JavaScript
60,Python
60,SQL
61,Assembly
61,C++
61,Go
61,HTML/CSS
61,Julia
61,Lisp
61,Rust
61,SQL
61,Zig
62,C#
62,JavaScript
62,SQL
62,TypeScript
63,HTML/CSS
63,Java
63,JavaScript
63,SQL
63,TypeScript
64,Go
64,PowerShell
64,Ruby
64,Rust
65,Java
66,C++
66,Dart
67,Bash/Shell (all shells)
67,C
67,C++
67,Go
67,Haskell
67,Java
67,Kotlin
67,Python
67,Rust
67,SQL
68,C#
68,Dart
69,Bash/Shell (all shells)
69,HTML/CSS
69,Java
69,JavaScript
69,Kotlin
69,Perl
69,PHP
69,Python
69,SQL
69,TypeScript
70,C#
70,HTML/CSS
70,JavaScript
70,SQL
72,C#
72,JavaScript
72,PowerShell
72,SQL
72,TypeScript
73,C#
73,Rust
73,Scala
74,C++
75,Assembly
75,Bash/Shell (all shells)
75,C++
75,Clojure
75,Elixir
75,Erlang
75,Fortran
75,Java
75,JavaScript
75,Lua
75,OCaml
75,Python
75,R
75,Rust
75,Scala
75,Zig
76,Dart
76,Kotlin
76,Swift
77,Groovy
77,HTML/CSS
77,Java
77,JavaScript
77,Python
78,Bash/Shell (all shells)
78,C++
78,Dart
78,Python
78,SQL
78,TypeScript
79,Bash/Shell (all shells)
79,HTML/CSS
79,Java
79,Kotlin
79,Perl
79,Python
80,C#
80,F#
80,JavaScript
80,Rust
80,TypeScript
81,C
81,C#
81,PowerShell
82,Go
82,HTML/CSS
82,JavaScript
82,Python
82,TypeScript
83,C
83,Python
84,Rust
85,C#
85,HTML/CSS
85,JavaScript
85,Kotlin
85,PowerShell
85,SQL
85,TypeScript
86,Cobol
86,Fortran
86,HTML/CSS
86,JavaScript
86,SQL
87,Bash/Shell (all shells)
87,C#
87,Go
87,JavaScript
87,PowerShell
87,Python
87,Rust
87,SQL
87,TypeScript
88,Rust
89,C#
89,SQL
89,VBA
89,Visual Basic (.Net)
90,HTML/CSS
90,Java
90,JavaScript
90,PHP
90,SQL
90,Visual Basic (.Net)
91,Python
92,C
92,C++
92,Rust
94,GDScript
94,JavaScript
94,Rust
95,Assembly
95,C
95,C#
95,HTML/CSS
95,JavaScript
95,PHP
95,PowerShell
96,C++
96,HTML/CSS
96,PHP
96,SQL
99,C#
100,Assembly
100,Bash/Shell (all shells)
100,C#
100,C++
100,Go
100,HTML/CSS
100,Java
100,JavaScript
100,Lua
100,Python
100,Swift
100,Zig
101,Bash/Shell (all shells)
101,Dart
101,Go
101,Rust
101,SQL
102,C#
102,SQL
103,C++
103,Rust
104,Assembly
104,Bash/Shell (all shells)
104,C
104,C#
104,C++
104,F#
104,MATLAB
104,OCaml
104,PowerShell
104,Rust
104,SQL
106,Bash/Shell (all shells)
106,Elixir
106,Go
106,HTML/CSS
106,Python
107,Bash/Shell (all shells)
107,F#
107,Haskell
107,HTML/CSS
107,JavaScript
107,Kotlin
107,Lisp
107,PowerShell
107,Rust
107,Scala
107,TypeScript
108,C#
108,F#
108,HTML/CSS
108,Lua
108,SQL
108,VBA
109,C#
109,PowerShell
109,SQL
110,Scala
111,C
111,C#
111,HTML/CSS
111,Java
111,Kotlin
111,Python
111,SQL
111,Swift
111,TypeScript
113,Bash/Shell (all shells)
113,HTML/CSS
113,JavaScript
113,TypeScript
114,Python
114,R
114,SQL
115,Ruby
116,C#
117,Erlang
117,Haskell
118,Bash/Shell (all shells)
118,HTML/CSS
118,JavaScript
118,Python
118,Zig
119,C#
119,Go
119,Python
119,SQL
121,Bash/Shell (all shells)
121,C
121,C#
121,C++
121,HTML/CSS
121,JavaScript
121,SQL
122,C#
122,HTML/CSS
122,JavaScript
122,PowerShell
122,Python
122,R
122,SQL
122,Swift
122,TypeScript
123,Java
123,JavaScript
123,Kotlin
123,Lua
123,Python
123,TypeScript
124,Go
125,C#
125,HTML/CSS
125,JavaScript
125,Python
125,TypeScript
126,HTML/CSS
126,Python
126,Swift
126,TypeScript
127,Go
127,Python
128,Assembly
128,Bash/Shell (all shells)
128,C
128,C#
128,C++
128,Dart
128,Go
128,HTML/CSS
128,Java
128,Python
128,Rust
128,SQL
128,Zig
129,C#
129,HTML/CSS
129,JavaScript
129,PowerShell
129,Python
129,SQL
129,TypeScript
130,C#
130,HTML/CSS
130,JavaScript
130,Python
130,SQL
131,C++
132,JavaScript
132,TypeScript
133,HTML/CSS
133,JavaScript
133,PHP
133,SQL
134,Bash/Shell (all shells)
134,C#
134,HTML/CSS
134,Java
134,Python
134,SQL
135,C#
135,PowerShell
135,Python
136,HTML/CSS
136,Java
136,JavaScript
136,PHP
136,SQL
136,TypeScript
137,Bash/Shell (all shells)
137,C
137,C#
137,C++
137,HTML/CSS
137,JavaScript
137,Python
137,SQL
137,TypeScript
138,Bash/Shell (all shells)
138,Clojure
138,Kotlin
138,TypeScript
139,Assembly
139,C
139,C++
139,HTML/CSS
139,JavaScript
139,TypeScript
140,Bash/Shell (all shells)
140,HTML/CSS
140,JavaScript
140,PHP
140,PowerShell
140,Python
140,SQL
140,TypeScript
141,Bash/Shell (all shells)
141,C#
141,Dart
141,Go
141,JavaScript
141,PowerShell
141,Python
141,SQL
142,HTML/CSS
142,JavaScript
142,Kotlin
142,PHP
142,SQL
142,TypeScript
143,PowerShell
143,Python
143,SQL
144,Haskell
144,HTML/CSS
144,Python
144,Rust
144,SQL
144,TypeScript
145,C#
145,HTML/CSS
145,JavaScript
145,SQL
145,TypeScript
146,Bash/Shell (all shells)
146,Dart
146,Kotlin
146,PHP
146,Python
146,SQL
146,Swift
148,Kotlin
148,PHP
148,SQL
149,C#
149,Go
149,Java
149,Python
149,TypeScript
150,Bash/Shell (all shells)
150,HTML/CSS
150,JavaScript
150,Python
150,Rust
150,SQL
151,C#
151,C++
151,HTML/CSS
151,JavaScript
151,Python
151,TypeScript
153,C#
153,HTML/CSS
153,Python
153,SQL
155,C
155,C++
155,Python
155,Rust
156,Bash/Shell (all shells)
156,HTML/CSS
156,Java
156,JavaScript
156,PHP
156,PowerShell
156,Python
156,Rust
156,SQL
156,TypeScript
157,HTML/CSS
157,JavaScript
157,PHP
157,Python
157,SQL
157,TypeScript
158,Assembly
158,Bash/Shell (all shells)
158,C
158,C#
158,C++
158,Go
158,HTML/CSS
158,Python
158,Rust
158,Solidity
158,SQL
158,Zig
159,Dart
159,HTML/CSS
159,JavaScript
159,Kotlin
159,Rust
159,Solidity
159,SQL
159,Swift
159,TypeScript
160,C
160,C#
160,C++
160,Rust
161,C
161,Rust
161,Zig
162,C#
162,HTML/CSS
162,TypeScript
163,Rust
163,TypeScript
164,Java
164,TypeScript
165,Java
166,C#
166,HTML/CSS
166,JavaScript
166,SQL
166,TypeScript
167,C#
167,HTML/CSS
167,Java
167,JavaScript
167,PowerShell
167,SQL
167,TypeScript
168,HTML/CSS
168,JavaScript
168,Kotlin
168,Lua
168,Python
168,SQL
168,TypeScript
169,HTML/CSS
169,JavaScript
169,TypeScript
170,Python
171,C#
171,Go
171,HTML/CSS
171,JavaScript
171,Kotlin
171,PHP
171,Python
171,Ruby
171,Rust
171,Swift
171,TypeScript
171,Zig
172,Bash/Shell (all shells)
172,C#
172,Go
172,PowerShell
172,Rust
172,SQL
172,Zig
173,C#
173,Go
173,HTML/CSS
173,PHP
173,TypeScript
174,Python
174,SQL
174,VBA
175,Bash/Shell (all shells)
175,C
175,Dart
175,Elixir
175,Haskell
175,HTML/CSS
175,Julia
175,Kotlin
175,Prolog
175,Rust
175,Scala
175,SQL
175,TypeScript
176,C#
176,HTML/CSS
176,JavaScript
176,SQL
176,TypeScript
177,C#
177,C++
177,F#
177,JavaScript
177,Objective-C
177,Python
177,SQL
177,TypeScript
178,Assembly
178,C
178,C++
178,PowerShell
178,Python
178,Rust
178,SQL
179,Bash/Shell (all shells)
179,C
179,C#
179,Clojure
179,F#
179,Lisp
179,Lua
179,Prolog
179,Python
179,SQL
180,Bash/Shell (all shells)
180,Haskell
180,Python
180,Rust
181,Bash/Shell (all shells)
181,Java
181,JavaScript
181,Python
181,SQL
181,TypeScript
182,C#
182,HTML/CSS
182,JavaScript
182,PHP
182,PowerShell
182,SQL
183,C#
183,TypeScript
185,Rust
185,SQL
186,HTML/CSS
186,JavaScript
186,SQL
186,TypeScript
187,Scala
188,Assembly
188,C
188,Python
188,Rust
188,Zig
189,Dart
189,Go
189,TypeScript
190,C#
190,SQL
190,TypeScript
191,C#
191,HTML/CSS
191,JavaScript
191,Python
192,C#
192,C++
192,Go
192,Java
192,JavaScript
192,PowerShell
192,Rust
192,SQL
193,C#
193,C++
193,GDScript
193,HTML/CSS
193,Java
193,JavaScript
193,Lua
193,SQL
194,Kotlin
194,Swift
195,C
195,C++
195,Python
196,Dart
196,HTML/CSS
196,Java
196,JavaScript
196,PHP
196,Python
196,SQL
196,TypeScript
197,Bash/Shell (all shells)
197,C
197,C++
197,HTML/CSS
197,Java
197,JavaScript
197,Perl
197,PHP
197,Python
197,R
197,SQL
198,Assembly
198,Rust
199,Dart
199,Java
199,Ruby
199,Rust
199,Solidity
199,SQL
199,Zig
200,HTML/CSS
200,Java
200,JavaScript
200,SQL
201,MATLAB
201,PHP
201,R
201,TypeScript
202,Java
202,JavaScript
202,Julia
202,SQL
203,HTML/CSS
