ResponseId,PlatformWantToWorkWith
2,Amazon Web Services (AWS)
2,Heroku
2,Netlify
3,Google Cloud
4,Amazon Web Services (AWS)
4,Vercel
6,Cloudflare
8,Vercel
10,Amazon Web Services (AWS)
10,Digital Ocean
10,Firebase
10,Vercel
11,Google Cloud
12,Cloudflare
13,Hetzner
13,VMware
19,Microsoft Azure
20,Microsoft Azure
23,Amazon Web Services (AWS)
23,Cloudflare
23,Microsoft Azure
24,Amazon Web Services (AWS)
27,Amazon Web Services (AWS)
28,Amazon Web Services (AWS)
29,Amazon Web Services (AWS)
29,Colocation
29,Hetzner
29,Microsoft Azure
29,VMware
30,Amazon Web Services (AWS)
30,Firebase
30,Microsoft Azure
31,Amazon Web Services (AWS)
31,Firebase
31,Google Cloud
32,Amazon Web Services (AWS)
33,Amazon Web Services (AWS)
35,Microsoft Azure
35,Oracle Cloud Infrastructure (OCI)
35,PythonAnywhere
36,Microsoft Azure
37,Google Cloud
37,Oracle Cloud Infrastructure (OCI)
39,Amazon Web Services (AWS)
39,Heroku
40,Amazon Web Services (AWS)
41,Fly.io
42,Amazon Web Services (AWS)
43,Cloudflare
43,Supabase
44,Microsoft Azure
45,Firebase
45,Microsoft Azure
46,Databricks
46,Firebase
46,Google Cloud
46,Heroku
49,Microsoft Azure
50,Amazon Web Services (AWS)
50,Google Cloud
50,Microsoft Azure
51,Render
52,Amazon Web Services (AWS)
52,Cloudflare
52,Digital Ocean
52,Firebase
52,Fly.io
52,Google Cloud
52,Microsoft Azure
52,Oracle Cloud Infrastructure (OCI)
52,Supabase
52,Vercel
53,Amazon Web Services (AWS)
53,Cloudflare
53,Oracle Cloud Infrastructure (OCI)
53,Supabase
55,Cloudflare
57,Cloudflare
57,Oracle Cloud Infrastructure (OCI)
60,Amazon Web Services (AWS)
61,Cloudflare
61,Firebase
62,Microsoft Azure
64,Amazon Web Services (AWS)
64,Microsoft Azure
65,Google Cloud
68,Microsoft Azure
69,Amazon Web Services (AWS)
69,Google Cloud
69,Microsoft Azure
72,Microsoft Azure
73,Amazon Web Services (AWS)
73,Databricks
73,Google Cloud
74,PythonAnywhere
75,Cloudflare
75,Digital Ocean
76,Digital Ocean
77,Amazon Web Services (AWS)
78,Digital Ocean
78,Vercel
78,Vultr
79,Amazon Web Services (AWS)
79,Cloudflare
79,Fly.io
80,Microsoft Azure
87,Microsoft Azure
93,Amazon Web Services (AWS)
93,Microsoft Azure
99,Microsoft Azure
100,Netlify
101,Amazon Web Services (AWS)
101,Cloudflare
101,Google Cloud
111,Amazon Web Services (AWS)
111,Google Cloud
111,Microsoft Azure
113,Amazon Web Services (AWS)
113,Netlify
114,Amazon Web Services (AWS)
114,Google Cloud
114,Microsoft Azure
118,Hetzner
118,Vercel
119,Amazon Web Services (AWS)
119,Google Cloud
121,Cloudflare
121,Google Cloud
122,Amazon Web Services (AWS)
122,Google Cloud
122,Microsoft Azure
125,Digital Ocean
125,Firebase
125,Netlify
127,Amazon Web Services (AWS)
127,Google Cloud
127,Microsoft Azure
128,Amazon Web Services (AWS)
128,Google Cloud
128,Heroku
128,PythonAnywhere
129,Firebase
129,Microsoft Azure
130,Microsoft Azure
132,Digital Ocean
132,Vercel
134,Cloudflare
134,Hetzner
134,Microsoft Azure
134,Oracle Cloud Infrastructure (OCI)
134,OVH
135,Amazon Web Services (AWS)
135,Microsoft Azure
135,VMware
136,Digital Ocean
137,Cloudflare
137,Google Cloud
137,VMware
138,Amazon Web Services (AWS)
138,Vercel
139,Hetzner
140,Google Cloud
141,Amazon Web Services (AWS)
141,Digital Ocean
141,Google Cloud
141,Microsoft Azure
141,Oracle Cloud Infrastructure (OCI)
141,VMware
142,Cloudflare
142,OVH
143,Microsoft Azure
144,Cloudflare
146,Amazon Web Services (AWS)
146,Firebase
146,Supabase
150,Supabase
151,Amazon Web Services (AWS)
151,Microsoft Azure
156,Amazon Web Services (AWS)
156,Google Cloud
156,Managed Hosting
158,"Linode, now Akamai"
158,Microsoft Azure
158,Supabase
158,VMware
159,Amazon Web Services (AWS)
159,Microsoft Azure
160,Microsoft Azure
161,OpenShift
163,Amazon Web Services (AWS)
163,Cloudflare
165,Google Cloud
166,Microsoft Azure
167,Databricks
167,Microsoft Azure
168,Vultr
169,Netlify
172,Amazon Web Services (AWS)
172,Cloudflare
172,Digital Ocean
172,Google Cloud
172,"Linode, now Akamai"
172,Microsoft Azure
173,Amazon Web Services (AWS)
173,Cloudflare
173,Google Cloud
174,Amazon Web Services (AWS)
174,Microsoft Azure
175,Cloudflare
175,Hetzner
175,Netlify
175,Supabase
175,Vercel
176,Microsoft Azure
178,Amazon Web Services (AWS)
180,Amazon Web Services (AWS)
180,Cloudflare
180,Google Cloud
180,Hetzner
181,Amazon Web Services (AWS)
181,Google Cloud
182,Cloudflare
182,Managed Hosting
183,Microsoft Azure
184,Vultr
185,Cloudflare
185,Hetzner
185,Oracle Cloud Infrastructure (OCI)
188,Netlify
189,Amazon Web Services (AWS)
189,Vercel
190,Microsoft Azure
191,Amazon Web Services (AWS)
191,Microsoft Azure
192,Amazon Web Services (AWS)
194,Firebase
194,Google Cloud
194,Microsoft Azure
196,Amazon Web Services (AWS)
196,Cloudflare
196,Digital Ocean
196,Firebase
196,Google Cloud
196,Microsoft Azure
196,Vercel
197,Hetzner
198,Google Cloud
200,Vultr
201,Amazon Web Services (AWS)
201,Google Cloud
201,Microsoft Azure
205,Amazon Web Services (AWS)
208,Amazon Web Services (AWS)
208,Cloudflare
208,Digital Ocean
208,Microsoft Azure
208,Vercel
209,OVH
210,Amazon Web Services (AWS)
210,Databricks
210,Microsoft Azure
211,OVH
212,Amazon Web Services (AWS)
212,Heroku
213,Amazon Web Services (AWS)
215,Digital Ocean
216,Microsoft Azure
217,Firebase
218,Microsoft Azure
222,Google Cloud
222,Microsoft Azure
222,OpenStack
223,OVH
226,Hetzner
230,Amazon Web Services (AWS)
233,Firebase
235,Firebase
235,Google Cloud
236,Digital Ocean
236,Managed Hosting
237,Amazon Web Services (AWS)
237,Databricks
237,Google Cloud
237,Oracle Cloud Infrastructure (OCI)
237,VMware
238,Microsoft Azure
240,Firebase
242,VMware
243,Amazon Web Services (AWS)
243,Digital Ocean
243,Firebase
243,Vercel
244,Microsoft Azure
248,Amazon Web Services (AWS)
248,Google Cloud
253,Google Cloud
254,Amazon Web Services (AWS)
256,Amazon Web Services (AWS)
262,Vercel
263,Hetzner
263,Microsoft Azure
264,Amazon Web Services (AWS)
264,Heroku
266,Amazon Web Services (AWS)
267,VMware
271,Firebase
271,Google Cloud
271,Netlify
271,Render
271,Vercel
271,Vultr
272,IBM Cloud Or Watson
274,Google Cloud
274,Microsoft Azure
